epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.3580833971500397,1.7906159162521362,0.5174418687820435,1.5183624029159546,9.999999747378752e-06
2,0.6144842505455017,1.2698253393173218,0.6904069781303406,1.1200318336486816,9.999999747378752e-06
3,0.8361375331878662,0.8342754244804382,0.9040697813034058,0.7377764582633972,9.999999747378752e-06
4,0.9034382104873657,0.5909109711647034,0.9142441749572754,0.53191077709198,9.999999747378752e-06
5,0.9385515451431274,0.42378807067871094,0.930232584476471,0.40852925181388855,9.999999747378752e-06
6,0.96196049451828,0.3175109326839447,0.9476743936538696,0.3406183421611786,9.999999747378752e-06
7,0.9670811891555786,0.25343838334083557,0.957848846912384,0.27111151814460754,9.999999747378752e-06
8,0.9798829555511475,0.19898170232772827,0.9607558250427246,0.24049118161201477,9.999999747378752e-06
9,0.980248749256134,0.16976886987686157,0.9694767594337463,0.2002505213022232,9.999999747378752e-06
10,0.9842721223831177,0.14002282917499542,0.9665697813034058,0.17928959429264069,9.999999747378752e-06
11,0.9871982336044312,0.11759413033723831,0.9694767594337463,0.1592753380537033,9.999999747378752e-06
12,0.9915874004364014,0.0981007069349289,0.9752907156944275,0.14096170663833618,9.999999747378752e-06
13,0.9930504560470581,0.08538172394037247,0.9752907156944275,0.13790488243103027,9.999999747378752e-06
14,0.9926847219467163,0.07183916866779327,0.9781976938247681,0.11444096267223358,9.999999747378752e-06
15,0.994147777557373,0.06028018146753311,0.9825581312179565,0.10824666172266006,9.999999747378752e-06
16,0.9963423609733582,0.05283563211560249,0.9767441749572754,0.10699526220560074,9.999999747378752e-06
17,0.9970738887786865,0.047000713646411896,0.9825581312179565,0.0921664908528328,9.999999747378752e-06
18,0.9978054165840149,0.039824120700359344,0.9854651093482971,0.08423952013254166,9.999999747378752e-06
19,0.9989026784896851,0.032886803150177,0.9840116500854492,0.08393878489732742,9.999999747378752e-06
20,0.9989026784896851,0.029005687683820724,0.9854651093482971,0.07597722858190536,9.999999747378752e-06
